Iteration,Best_Fitness,Function
121,2.2034523625704406e-21,generalized_power
126,4.586674629628901e-22,generalized_power
131,5.678316499679008e-23,generalized_power
136,1.5876862494999146e-23,generalized_power
141,5.2321678092356104e-24,generalized_power
146,5.2321678092356104e-24,generalized_power
151,1.5718068091029018e-24,generalized_power
156,9.195385192791137e-25,generalized_power
161,1.2013369981578514e-26,generalized_power
166,1.0771610804061752e-26,generalized_power
171,9.089886335751492e-28,generalized_power
176,8.9738928334505e-28,generalized_power
181,2.711914186654293e-28,generalized_power
186,1.0718545961829231e-29,generalized_power
191,1.0703037802028467e-30,generalized_power
196,1.067844417540928e-30,generalized_power
201,1.3508158253024224e-32,generalized_power
206,1.3508158253024224e-32,generalized_power
211,2.2451070828455138e-33,generalized_power
216,1.2232306942560576e-34,generalized_power
221,1.2232294953219903e-34,generalized_power
226,4.095872316410412e-35,generalized_power
231,2.7273691165915523e-36,generalized_power
236,4.166432368710209e-37,generalized_power
241,4.166432368710209e-37,generalized_power
246,4.816305866568317e-38,generalized_power
251,4.773319821740167e-38,generalized_power
256,2.1655962162375796e-38,generalized_power
261,2.8928816432117026e-39,generalized_power
266,2.8928816432117026e-39,generalized_power
271,1.4405720095932072e-39,generalized_power
276,4.0324687396785067e-41,generalized_power
281,4.0324687396785067e-41,generalized_power
286,1.2920852120215392e-42,generalized_power
291,5.782680493386758e-43,generalized_power
296,5.782680493386758e-43,generalized_power
301,3.070708273639052e-44,generalized_power
306,2.480008975062842e-44,generalized_power
311,2.6457184095624225e-45,generalized_power
316,8.041449357568499e-48,generalized_power
321,1.4950401629552467e-48,generalized_power
326,1.4950401629552467e-48,generalized_power
331,1.495040162920494e-48,generalized_power
336,3.591935476453822e-50,generalized_power
341,3.506426324053358e-50,generalized_power
346,1.7313426135521599e-50,generalized_power
351,1.038249821498928e-50,generalized_power
356,5.651139702488425e-51,generalized_power
361,1.42654515539999e-51,generalized_power
366,1.1576453772767127e-51,generalized_power
371,5.142165035706081e-53,generalized_power
376,2.0854324064192606e-54,generalized_power
381,2.0854324064192606e-54,generalized_power
386,2.0854323902472994e-54,generalized_power
391,1.789742418425647e-55,generalized_power
396,1.3490976610473729e-55,generalized_power
401,1.3490976610473729e-55,generalized_power
406,4.253156475360336e-56,generalized_power
411,9.143142870223837e-57,generalized_power
416,9.143136218767593e-57,generalized_power
421,9.143136218767593e-57,generalized_power
426,8.41774333697957e-59,generalized_power
431,4.92096565933632e-59,generalized_power
436,4.92096565933632e-59,generalized_power
441,3.9822131292142383e-59,generalized_power
446,5.252964578914353e-60,generalized_power
451,1.7444661337602227e-60,generalized_power
456,1.7653774053093517e-62,generalized_power
461,7.702741407403088e-63,generalized_power
466,2.0323645386960876e-63,generalized_power
471,7.527807344334659e-65,generalized_power
476,1.5388519243447224e-65,generalized_power
481,1.5388519243447224e-65,generalized_power
486,5.132560873841233e-68,generalized_power
491,2.307469225228081e-68,generalized_power
496,1.458201384845595e-69,generalized_power
501,7.442422569723159e-70,generalized_power
506,4.810672254693399e-70,generalized_power
511,4.133310495728394e-70,generalized_power
516,2.3793156616870673e-70,generalized_power
521,2.3793156616865223e-70,generalized_power
526,6.645132487162122e-71,generalized_power
531,6.645132487162122e-71,generalized_power
536,1.9610442029762197e-72,generalized_power
541,1.8827445534665507e-73,generalized_power
546,1.6305703002984075e-73,generalized_power
551,1.6305703002984075e-73,generalized_power
556,4.083826977260878e-74,generalized_power
561,1.5029660597503792e-74,generalized_power
566,8.390083167294616e-75,generalized_power
571,4.796410086125398e-75,generalized_power
576,6.463819731472775e-76,generalized_power
581,2.509417059203526e-77,generalized_power
586,9.30478649759923e-78,generalized_power
591,4.6796865903418245e-80,generalized_power
596,2.324191935785518e-80,generalized_power
601,1.8486792594519926e-80,generalized_power
606,7.976089595624832e-81,generalized_power
611,7.281039412656113e-81,generalized_power
616,3.305568298531635e-81,generalized_power
621,2.365792480052754e-82,generalized_power
626,1.554160286678173e-82,generalized_power
631,3.0706725398585456e-84,generalized_power
636,7.942928449132148e-85,generalized_power
641,7.942928449132148e-85,generalized_power
646,1.19964048933892e-86,generalized_power
651,9.926834581631354e-87,generalized_power
656,1.929547224745463e-87,generalized_power
661,3.370295080707472e-88,generalized_power
666,1.5394598946825162e-88,generalized_power
671,1.4247486618473503e-89,generalized_power
676,6.29924940546378e-90,generalized_power
681,2.6062217897730787e-90,generalized_power
686,1.6529814915429934e-90,generalized_power
691,9.782517188890022e-92,generalized_power
696,8.596299751091608e-92,generalized_power
701,5.706009934669131e-92,generalized_power
706,2.583719972994825e-93,generalized_power
711,1.71894993900622e-93,generalized_power
716,3.2475313962789907e-94,generalized_power
721,1.4222799571934888e-94,generalized_power
726,8.303824082112056e-95,generalized_power
731,1.6220721444759586e-96,generalized_power
736,1.1585090982252481e-96,generalized_power
741,7.064883301307909e-98,generalized_power
746,7.893146362451796e-99,generalized_power
751,3.383831750973313e-99,generalized_power
756,3.383831750973313e-99,generalized_power
761,3.383831723654839e-99,generalized_power
766,1.21235570667355e-99,generalized_power
771,1.0799844936681325e-99,generalized_power
776,2.884309046148766e-101,generalized_power
781,1.9797421907153052e-101,generalized_power
786,1.8998332424362997e-102,generalized_power
791,2.9935596900379254e-103,generalized_power
796,6.296282927439673e-104,generalized_power
801,6.296282927439673e-104,generalized_power
806,1.0112924230851493e-104,generalized_power
811,3.351105113492496e-107,generalized_power
816,3.2087261188174147e-107,generalized_power
821,3.007733685521706e-107,generalized_power
826,1.4370893297829892e-107,generalized_power
831,7.816174100580431e-108,generalized_power
836,3.7378817556868557e-109,generalized_power
841,6.054336140326211e-110,generalized_power
846,5.916864264265552e-112,generalized_power
851,2.9840188187456385e-112,generalized_power
856,2.9840188187456385e-112,generalized_power
861,5.252407736920159e-113,generalized_power
866,1.6233153049764603e-114,generalized_power
871,1.6233153049764603e-114,generalized_power
876,1.6233153049764603e-114,generalized_power
881,1.221935762953094e-114,generalized_power
886,4.969406990560319e-115,generalized_power
891,1.6702477656612858e-115,generalized_power
896,1.6702477656612858e-115,generalized_power
901,1.2096557549708247e-115,generalized_power
906,6.214207285081806e-117,generalized_power
911,1.439852178715486e-118,generalized_power
916,5.068197596683225e-119,generalized_power
921,4.87521388364065e-121,generalized_power
926,4.87521388364065e-121,generalized_power
931,1.1145113943944749e-123,generalized_power
936,9.371622493658609e-124,generalized_power
941,3.597774250053205e-124,generalized_power
946,4.6303581656444514e-125,generalized_power
951,4.6303581656444514e-125,generalized_power
956,9.834603584590082e-127,generalized_power
961,7.196810151920157e-127,generalized_power
966,1.2501868020383385e-128,generalized_power
971,1.2501868020383385e-128,generalized_power
976,1.1197554409418922e-129,generalized_power
981,2.863427517160181e-130,generalized_power
986,1.0120270032062744e-130,generalized_power
991,9.567056502594394e-131,generalized_power
996,5.420764390179943e-132,generalized_power
1,479671.29523985303,composite_quadratic
6,1846.7303516171912,composite_quadratic
11,1.0501982072879812,composite_quadratic
16,0.04412795102265678,composite_quadratic
21,0.03978645872205249,composite_quadratic
26,0.0031863609137658187,composite_quadratic
31,0.0004893273248269559,composite_quadratic
36,3.254300221286596e-05,composite_quadratic
41,3.916485746258941e-07,composite_quadratic
46,3.5057868212366045e-07,composite_quadratic
51,2.8815059133398384e-07,composite_quadratic
56,1.29274687711563e-07,composite_quadratic
61,1.0431906578044308e-08,composite_quadratic
66,1.3724237745811493e-09,composite_quadratic
71,6.258099517998825e-11,composite_quadratic
76,2.3032454218128576e-11,composite_quadratic
81,4.906528708746206e-13,composite_quadratic
86,2.4486564970051393e-13,composite_quadratic
91,9.224716362182214e-15,composite_quadratic
96,2.6919442000966397e-16,composite_quadratic
101,1.560259486262678e-16,composite_quadratic
106,1.2051219740217029e-16,composite_quadratic
111,1.1977751367262522e-16,composite_quadratic
116,1.684515734802624e-17,composite_quadratic
121,2.119547912895775e-18,composite_quadratic
126,2.4665565964408934e-19,composite_quadratic
131,7.192763061811252e-22,composite_quadratic
136,7.192763061811252e-22,composite_quadratic
141,3.264421750786105e-22,composite_quadratic
146,2.0625097258608098e-23,composite_quadratic
151,7.822997753017144e-24,composite_quadratic
156,1.0907063916939327e-24,composite_quadratic
161,7.887212561959841e-25,composite_quadratic
166,5.243904114006251e-26,composite_quadratic
171,7.54257730782395e-27,composite_quadratic
176,3.0527188100963135e-27,composite_quadratic
181,3.675835523444491e-29,composite_quadratic
186,2.9546248819475826e-29,composite_quadratic
191,2.3376807416389188e-29,composite_quadratic
196,2.919162454680393e-30,composite_quadratic
201,2.9189018847736713e-30,composite_quadratic
206,1.4978027163793073e-30,composite_quadratic
211,2.6952844565649654e-31,composite_quadratic
216,5.483702730445901e-32,composite_quadratic
221,5.483074089959165e-32,composite_quadratic
226,2.4065718838343968e-32,composite_quadratic
231,2.8252347760869614e-33,composite_quadratic
236,4.416951408185006e-34,composite_quadratic
241,7.876783722347857e-35,composite_quadratic
246,2.4626652830664288e-36,composite_quadratic
251,4.823713192103309e-37,composite_quadratic
256,2.1271333289125783e-38,composite_quadratic
261,1.2666511557605364e-39,composite_quadratic
266,4.166804208084716e-40,composite_quadratic
271,2.3557709506559484e-40,composite_quadratic
276,8.048781333630126e-41,composite_quadratic
281,5.6338595066747267e-42,composite_quadratic
286,2.8927832194237097e-43,composite_quadratic
291,4.7345984124625536e-45,composite_quadratic
296,3.7536913190081176e-45,composite_quadratic
301,3.7536913190081176e-45,composite_quadratic
306,1.1299882991259967e-45,composite_quadratic
311,5.655553822717348e-46,composite_quadratic
316,1.5101749012318304e-47,composite_quadratic
321,1.3353845901203228e-47,composite_quadratic
326,2.388957187989907e-49,composite_quadratic
331,1.4660371843329536e-50,composite_quadratic
336,5.168874045259354e-51,composite_quadratic
341,2.1437272392778306e-51,composite_quadratic
346,9.177244367137155e-52,composite_quadratic
351,5.8290890323990635e-52,composite_quadratic
356,7.465415514120284e-53,composite_quadratic
361,5.398098344036525e-54,composite_quadratic
366,5.321117308120316e-54,composite_quadratic
371,7.153016706974136e-55,composite_quadratic
376,2.0791397947290437e-55,composite_quadratic
381,1.8382826805314853e-56,composite_quadratic
386,6.607224818941032e-57,composite_quadratic
391,8.602980816679697e-58,composite_quadratic
396,9.71532133247861e-59,composite_quadratic
401,9.635475468834549e-60,composite_quadratic
406,4.625223041103193e-60,composite_quadratic
411,3.430866955630353e-60,composite_quadratic
416,4.3825811588113764e-61,composite_quadratic
421,2.444356559102423e-62,composite_quadratic
426,1.066275188944658e-63,composite_quadratic
431,1.793239121783109e-64,composite_quadratic
436,2.3116225003665997e-65,composite_quadratic
441,6.288700875559359e-66,composite_quadratic
446,2.057845786867414e-68,composite_quadratic
451,5.323294176237946e-69,composite_quadratic
456,3.1246946307028746e-69,composite_quadratic
461,1.3950886863209763e-70,composite_quadratic
466,9.73821827940248e-72,composite_quadratic
471,6.176391986702684e-73,composite_quadratic
476,1.786272927847229e-73,composite_quadratic
481,1.5375051543894812e-73,composite_quadratic
486,1.279419575323342e-73,composite_quadratic
491,1.2346274915024305e-73,composite_quadratic
496,8.206780584425264e-74,composite_quadratic
501,1.123912289664106e-75,composite_quadratic
506,1.8239085747556434e-77,composite_quadratic
511,1.8235667009872238e-77,composite_quadratic
516,2.7702018307296206e-78,composite_quadratic
521,2.770201830727246e-78,composite_quadratic
526,1.7390716400349742e-79,composite_quadratic
531,3.146770869405748e-80,composite_quadratic
536,6.151533709403381e-81,composite_quadratic
541,3.2891966959916087e-81,composite_quadratic
546,6.93433064151403e-82,composite_quadratic
551,4.7571669751433215e-82,composite_quadratic
556,7.32591679549512e-85,composite_quadratic
561,4.9178806139401516e-86,composite_quadratic
566,9.25598652358117e-87,composite_quadratic
571,1.103831031521208e-87,composite_quadratic
576,8.470138565841189e-88,composite_quadratic
581,6.691240336609123e-89,composite_quadratic
586,2.138619842210218e-89,composite_quadratic
591,9.174682681579785e-90,composite_quadratic
596,2.687930075082664e-91,composite_quadratic
601,2.512575986057816e-91,composite_quadratic
606,7.589504758066726e-93,composite_quadratic
611,7.588073907683751e-93,composite_quadratic
616,6.770525088304864e-95,composite_quadratic
621,6.257970368989881e-95,composite_quadratic
626,2.549792665196314e-95,composite_quadratic
631,3.875224344125994e-96,composite_quadratic
636,3.84727243693487e-96,composite_quadratic
641,2.7985642819783496e-96,composite_quadratic
646,1.0863573428064148e-96,composite_quadratic
651,5.019152637044898e-99,composite_quadratic
656,2.973868076581197e-100,composite_quadratic
661,8.651027501125141e-101,composite_quadratic
666,1.9376388438231442e-101,composite_quadratic
671,1.0692844915079406e-101,composite_quadratic
676,1.9864220952900155e-102,composite_quadratic
681,2.4950743692220065e-103,composite_quadratic
686,1.5552251224757946e-105,composite_quadratic
691,7.032781418101827e-106,composite_quadratic
696,4.686436983118087e-106,composite_quadratic
701,2.5007170423655244e-106,composite_quadratic
706,1.1966609478616013e-106,composite_quadratic
711,1.6826848723907877e-107,composite_quadratic
716,1.6826848723907877e-107,composite_quadratic
721,1.5384116317033546e-107,composite_quadratic
726,7.529814278607248e-109,composite_quadratic
731,2.227308003577339e-109,composite_quadratic
736,1.7122693384053126e-110,composite_quadratic
741,1.2313762948984135e-111,composite_quadratic
746,2.0064936560050867e-112,composite_quadratic
751,6.197722022944991e-113,composite_quadratic
756,3.402745088740275e-113,composite_quadratic
761,4.4277892223969745e-114,composite_quadratic
766,1.52080498475835e-116,composite_quadratic
771,1.7238448320200193e-117,composite_quadratic
776,6.955868617332029e-119,composite_quadratic
781,6.95586585090342e-119,composite_quadratic
786,1.260599435421149e-120,composite_quadratic
791,1.1204683527555178e-120,composite_quadratic
796,1.1748646760568726e-121,composite_quadratic
801,5.129080871109426e-122,composite_quadratic
806,2.161730532197472e-122,composite_quadratic
811,2.3472338364394084e-123,composite_quadratic
816,3.1379516468403728e-124,composite_quadratic
821,1.8651084005450764e-124,composite_quadratic
826,5.668371862139223e-125,composite_quadratic
831,5.593562876152877e-125,composite_quadratic
836,1.3381908958524418e-126,composite_quadratic
841,2.73537321943228e-129,composite_quadratic
846,4.2148852191595014e-131,composite_quadratic
851,3.8074507197098027e-131,composite_quadratic
856,3.8074507197098027e-131,composite_quadratic
861,4.580242038834706e-132,composite_quadratic
866,7.141413834560041e-133,composite_quadratic
871,6.989142031624334e-133,composite_quadratic
876,3.2819233171109515e-135,composite_quadratic
881,3.1851016601075464e-135,composite_quadratic
886,3.03086070884622e-135,composite_quadratic
891,1.198228873680324e-136,composite_quadratic
896,4.695219334963778e-137,composite_quadratic
901,4.695219334963778e-137,composite_quadratic
906,4.141094137551355e-137,composite_quadratic
911,4.135802429080859e-137,composite_quadratic
916,3.6357356271484034e-138,composite_quadratic
921,2.7639777746997406e-139,composite_quadratic
926,3.4603467048074886e-140,composite_quadratic
931,1.5099538990072374e-140,composite_quadratic
936,4.607744464641153e-142,composite_quadratic
941,1.5048942160905708e-142,composite_quadratic
946,1.5048942160905708e-142,composite_quadratic
951,9.746488875259322e-143,composite_quadratic
956,1.3361969282279672e-143,composite_quadratic
961,3.689872400713056e-144,composite_quadratic
966,1.3710546722329568e-147,composite_quadratic
971,1.3710055106127487e-147,composite_quadratic
976,3.8504957173152995e-149,composite_quadratic
981,8.125306221066607e-150,composite_quadratic
986,2.8420622322250496e-150,composite_quadratic
991,2.0815976285869254e-150,composite_quadratic
996,2.0815976285869254e-150,composite_quadratic
1,15.078367218608571,ackley
6,0.4663716053032734,ackley
11,0.0563228394347175,ackley
16,0.019545578227184723,ackley
21,0.00014437861021976417,ackley
26,7.858076318401075e-05,ackley
31,3.636325602274226e-05,ackley
36,1.5920336541075386e-05,ackley
41,8.072277854598298e-06,ackley
46,2.010020573539606e-06,ackley
51,1.807103651163544e-06,ackley
56,4.6348265358986396e-07,ackley
61,2.2979561409286475e-07,ackley
66,1.7215757042166047e-07,ackley
71,9.891064367550939e-08,ackley
76,1.6101385558187076e-08,ackley
81,1.40911180501746e-08,ackley
86,3.0170181908317772e-09,ackley
91,3.0170181908317772e-09,ackley
96,2.5995174901538576e-09,ackley
101,1.3565686352023931e-09,ackley
106,3.605511444959575e-10,ackley
111,9.785994237176965e-11,ackley
116,9.785994237176965e-11,ackley
121,7.602141138818297e-11,ackley
126,2.319255898441952e-11,ackley
131,1.8673507184985283e-11,ackley
136,4.224620653303646e-12,ackley
141,3.6992631180510216e-13,ackley
146,1.567634910770721e-13,ackley
151,1.567634910770721e-13,ackley
156,1.8207657603852567e-14,ackley
161,3.9968028886505635e-15,ackley
166,3.9968028886505635e-15,ackley
171,4.440892098500626e-16,ackley
176,4.440892098500626e-16,ackley
181,4.440892098500626e-16,ackley
186,4.440892098500626e-16,ackley
191,4.440892098500626e-16,ackley
196,4.440892098500626e-16,ackley
201,4.440892098500626e-16,ackley
206,4.440892098500626e-16,ackley
211,4.440892098500626e-16,ackley
216,4.440892098500626e-16,ackley
221,4.440892098500626e-16,ackley
226,4.440892098500626e-16,ackley
231,4.440892098500626e-16,ackley
236,4.440892098500626e-16,ackley
241,4.440892098500626e-16,ackley
246,4.440892098500626e-16,ackley
251,4.440892098500626e-16,ackley
256,4.440892098500626e-16,ackley
261,4.440892098500626e-16,ackley
266,4.440892098500626e-16,ackley
271,4.440892098500626e-16,ackley
276,4.440892098500626e-16,ackley
281,4.440892098500626e-16,ackley
286,4.440892098500626e-16,ackley
291,4.440892098500626e-16,ackley
296,4.440892098500626e-16,ackley
301,4.440892098500626e-16,ackley
306,4.440892098500626e-16,ackley
311,4.440892098500626e-16,ackley
316,4.440892098500626e-16,ackley
321,4.440892098500626e-16,ackley
326,4.440892098500626e-16,ackley
331,4.440892098500626e-16,ackley
336,4.440892098500626e-16,ackley
341,4.440892098500626e-16,ackley
346,4.440892098500626e-16,ackley
351,4.440892098500626e-16,ackley
356,4.440892098500626e-16,ackley
361,4.440892098500626e-16,ackley
366,4.440892098500626e-16,ackley
371,4.440892098500626e-16,ackley
376,4.440892098500626e-16,ackley
381,4.440892098500626e-16,ackley
386,4.440892098500626e-16,ackley
391,4.440892098500626e-16,ackley
396,4.440892098500626e-16,ackley
401,4.440892098500626e-16,ackley
406,4.440892098500626e-16,ackley
411,4.440892098500626e-16,ackley
416,4.440892098500626e-16,ackley
421,4.440892098500626e-16,ackley
426,4.440892098500626e-16,ackley
431,4.440892098500626e-16,ackley
436,4.440892098500626e-16,ackley
441,4.440892098500626e-16,ackley
446,4.440892098500626e-16,ackley
451,4.440892098500626e-16,ackley
456,4.440892098500626e-16,ackley
461,4.440892098500626e-16,ackley
466,4.440892098500626e-16,ackley
471,4.440892098500626e-16,ackley
476,4.440892098500626e-16,ackley
481,4.440892098500626e-16,ackley
486,4.440892098500626e-16,ackley
491,4.440892098500626e-16,ackley
496,4.440892098500626e-16,ackley
501,4.440892098500626e-16,ackley
506,4.440892098500626e-16,ackley
511,4.440892098500626e-16,ackley
516,4.440892098500626e-16,ackley
521,4.440892098500626e-16,ackley
526,4.440892098500626e-16,ackley
531,4.440892098500626e-16,ackley
536,4.440892098500626e-16,ackley
541,4.440892098500626e-16,ackley
546,4.440892098500626e-16,ackley
551,4.440892098500626e-16,ackley
556,4.440892098500626e-16,ackley
561,4.440892098500626e-16,ackley
566,4.440892098500626e-16,ackley
571,4.440892098500626e-16,ackley
576,4.440892098500626e-16,ackley
581,4.440892098500626e-16,ackley
586,4.440892098500626e-16,ackley
591,4.440892098500626e-16,ackley
596,4.440892098500626e-16,ackley
601,4.440892098500626e-16,ackley
606,4.440892098500626e-16,ackley
611,4.440892098500626e-16,ackley
616,4.440892098500626e-16,ackley
621,4.440892098500626e-16,ackley
626,4.440892098500626e-16,ackley
631,4.440892098500626e-16,ackley
636,4.440892098500626e-16,ackley
641,4.440892098500626e-16,ackley
646,4.440892098500626e-16,ackley
651,4.440892098500626e-16,ackley
656,4.440892098500626e-16,ackley
661,4.440892098500626e-16,ackley
666,4.440892098500626e-16,ackley
671,4.440892098500626e-16,ackley
676,4.440892098500626e-16,ackley
681,4.440892098500626e-16,ackley
686,4.440892098500626e-16,ackley
691,4.440892098500626e-16,ackley
696,4.440892098500626e-16,ackley
701,4.440892098500626e-16,ackley
706,4.440892098500626e-16,ackley
711,4.440892098500626e-16,ackley
716,4.440892098500626e-16,ackley
721,4.440892098500626e-16,ackley
726,4.440892098500626e-16,ackley
731,4.440892098500626e-16,ackley
736,4.440892098500626e-16,ackley
741,4.440892098500626e-16,ackley
746,4.440892098500626e-16,ackley
751,4.440892098500626e-16,ackley
756,4.440892098500626e-16,ackley
761,4.440892098500626e-16,ackley
766,4.440892098500626e-16,ackley
771,4.440892098500626e-16,ackley
776,4.440892098500626e-16,ackley
781,4.440892098500626e-16,ackley
786,4.440892098500626e-16,ackley
791,4.440892098500626e-16,ackley
796,4.440892098500626e-16,ackley
801,4.440892098500626e-16,ackley
806,4.440892098500626e-16,ackley
811,4.440892098500626e-16,ackley
816,4.440892098500626e-16,ackley
821,4.440892098500626e-16,ackley
826,4.440892098500626e-16,ackley
831,4.440892098500626e-16,ackley
836,4.440892098500626e-16,ackley
841,4.440892098500626e-16,ackley
846,4.440892098500626e-16,ackley
851,4.440892098500626e-16,ackley
856,4.440892098500626e-16,ackley
861,4.440892098500626e-16,ackley
866,4.440892098500626e-16,ackley
871,4.440892098500626e-16,ackley
876,4.440892098500626e-16,ackley
881,4.440892098500626e-16,ackley
886,4.440892098500626e-16,ackley
891,4.440892098500626e-16,ackley
896,4.440892098500626e-16,ackley
901,4.440892098500626e-16,ackley
906,4.440892098500626e-16,ackley
911,4.440892098500626e-16,ackley
916,4.440892098500626e-16,ackley
921,4.440892098500626e-16,ackley
926,4.440892098500626e-16,ackley
931,4.440892098500626e-16,ackley
936,4.440892098500626e-16,ackley
941,4.440892098500626e-16,ackley
946,4.440892098500626e-16,ackley
951,4.440892098500626e-16,ackley
956,4.440892098500626e-16,ackley
961,4.440892098500626e-16,ackley
966,4.440892098500626e-16,ackley
971,4.440892098500626e-16,ackley
976,4.440892098500626e-16,ackley
981,4.440892098500626e-16,ackley
986,4.440892098500626e-16,ackley
991,4.440892098500626e-16,ackley
996,4.440892098500626e-16,ackley
